campus-engine  | 2026-05-09 16:49:55 | coap.node | INFO | CoAP node b01-f02-r213 listening on port 5896
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f02-r213 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node mqtt-b01-f04-r409 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | nodes.mqtt_node | ERROR | MQTT node b01-f07-r702 failed to connect: [Errno -2] Name or service not known
campus-engine  | 2026-05-09 16:49:55 | coap.node | INFO | CoAP node b01-f05-r520 listening on port 6203
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f05-r520 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | coap.node | INFO | CoAP node b01-f01-r120 listening on port 5803
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f01-r120 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | coap.node | INFO | CoAP node b01-f01-r112 listening on port 5795
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f01-r112 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | coap.node | INFO | CoAP node b01-f02-r220 listening on port 5903
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f02-r220 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | coap.node | INFO | CoAP node b01-f06-r611 listening on port 6294
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f06-r611 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | coap.node | INFO | CoAP node b01-f01-r114 listening on port 5797
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f01-r114 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | coap.node | INFO | CoAP node b01-f01-r116 listening on port 5799
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f01-r116 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | nodes.mqtt_node | ERROR | MQTT node b01-f08-r804 failed to connect: [Errno -2] Name or service not known
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node mqtt-b01-f02-r203 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node mqtt-b01-f09-r908 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | nodes.mqtt_node | ERROR | MQTT node b01-f08-r806 failed to connect: [Errno -2] Name or service not known
campus-engine  | 2026-05-09 16:49:55 | coap.node | INFO | CoAP node b01-f05-r516 listening on port 6199
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f05-r516 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | coap.node | INFO | CoAP node b01-f04-r418 listening on port 6101
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f04-r418 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | coap.node | INFO | CoAP node b01-f01-r117 listening on port 5800
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f01-r117 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | nodes.mqtt_node | ERROR | MQTT node b01-f04-r407 failed to connect: [Errno -2] Name or service not known
campus-engine  | 2026-05-09 16:49:55 | coap.node | INFO | CoAP node b01-f07-r714 listening on port 6397
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f07-r714 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | coap.node | INFO | CoAP node b01-f01-r111 listening on port 5794
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f01-r111 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | nodes.mqtt_node | ERROR | MQTT node b01-f09-r901 failed to connect: [Errno -2] Name or service not known
campus-engine  | 2026-05-09 16:49:55 | nodes.mqtt_node | ERROR | MQTT node b01-f07-r706 failed to connect: [Errno -2] Name or service not known
campus-engine  | 2026-05-09 16:49:55 | coap.node | INFO | CoAP node b01-f06-r612 listening on port 6295
